what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1317302563075
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1317302563075
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1317302563075
os,sysinfo,,,"win32",1317302563091
arch,sysinfo,,,"x86_64",1317302563091
ws,sysinfo,,,"win32",1317302563091
locale,sysinfo,,,"en_US",1317302563091
processors,sysinfo,,,"2",1317302563091
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317302563091
java.runtime.version,sysinfo,,,"1.7.0-b147",1317302563091
java.specification.name,sysinfo,,,"Java Platform API Specification",1317302563091
java.specification.vendor,sysinfo,,,"Oracle Corporation",1317302563091
java.specification.version,sysinfo,,,"1.7",1317302563091
java.vendor,sysinfo,,,"Oracle Corporation",1317302563091
java.version,sysinfo,,,"1.7.0",1317302563091
java.vm.info,sysinfo,,,"mixed mode",1317302563091
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1317302563091
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317302563091
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1317302563091
java.vm.specification.version,sysinfo,,,"1.7",1317302563091
java.vm.vendor,sysinfo,,,"Oracle Corporation",1317302563091
java.vm.version,sysinfo,,,"21.0-b17",1317302563091
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1317302844321
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1317302885789
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1317302885945
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1317302885965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302886205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302887610
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1317302888568
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1317302888602
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1317302888629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302890264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302901303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302904557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302905439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302907891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302910812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302915909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302917041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302919150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302922325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317302925524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302930954
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302932730
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1317302969506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1317302980668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302987739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302997094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317302998681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317303031598
